Order_ID,Custome_id,Product_id,Region,Discount_Pct,Sales,Profit,Order_date,Quantity,Product_Price
O25-003242,CUST00741,P0043,East,0.04,71.21,11.22,24-09-2025,2,37.09
O25-003166,CUST01013,P0047,East,0.18,7.6,0.59,12-09-2025,1,9.27
O25-004607,CUST01203,P0033,West,0.05,12.6,0.95,03-07-2025,1,13.26
O25-007044,CUST01072,P0028,West,0.04,3415.3,97.43,06-10-2025,10,355.76
O25-009856,CUST00859,P0033,West,0.1,24.64,1.84,28-11-2025,2,13.69
O25-008720,CUST01374,P0039,East,0.28,10.09,0.49,08-02-2025,1,14.02
O25-009306,CUST00669,P0012,East,0.14,115.64,23.19,08-02-2025,7,19.21
O25-008321,CUST00725,P0015,South,0.37,166.76,13.49,15-12-2025,5,52.94
O25-005303,CUST00624,P0006,East,0.15,322.69,70.46,27-11-2025,1,379.63
O25-006907,CUST00764,P0021,South,0.27,163.44,-1.07,14-08-2025,1,223.89
O25-006356,CUST00018,P0028,East,0.21,859.41,27.95,02-11-2025,3,362.62
O25-004254,CUST00180,P0027,West,0,211.84,9.31,23-03-2025,2,105.92
O25-006140,CUST00715,P0019,East,0.09,691.36,66.81,01-03-2025,2,379.87
O25-003621,CUST00004,P0028,North,0.09,646.46,64.92,27-02-2025,2,355.2
O25-007818,CUST01041,P0030,West,0.23,223.1,0.56,01-12-2025,3,96.58
O25-005189,CUST00057,P0001,West,0.05,1117.22,207.28,25-03-2025,1,1176.02
O25-001160,CUST00283,P0044,West,0.02,29.93,3.13,12-06-2025,2,15.27
O25-007953,CUST00970,P0024,South,0.15,545.3,10.83,31-08-2025,1,641.53
O25-003973,CUST00069,P0034,West,0.1,142.7,15.78,05-12-2025,16,9.91
O25-008942,CUST00007,P0003,North,0.1,14496.19,2794.16,27-07-2025,12,1342.24
O25-004525,CUST01460,P0035,West,0.1,3.52,0.34,06-02-2025,1,3.91
O25-007826,CUST00218,P0046,North,0.18,11.89,1.52,30-03-2025,5,2.9
O25-006416,CUST01485,P0036,North,0.08,217.6,34.75,21-10-2025,12,19.71
O25-003663,CUST00711,P0007,South,0.18,325.11,60.16,10-04-2025,2,198.24
O25-003873,CUST01128,P0022,South,0.16,6782.63,-144.97,15-11-2025,12,672.88
O25-004617,CUST01337,P0030,South,0.12,87.99,1.59,07-10-2025,1,99.99
O25-001676,CUST00598,P0042,North,0.03,266.75,50.33,24-01-2025,11,25
