Order_ID,Customer_ID,Product_ID,Region,Discount_Pct,Sales,Profit,Order_date,Quantity,Product_Price
O24-001369,CUST01357,P0039,East,0.06,37.93,6.58,2024-10-14,3,13.45
O24-003178,CUST00036,P0039,West,0.08,38.01,5.18,2024-10-27,3,13.77
O24-000752,CUST01343,P0002,West,0.15,903.04,227.59,2024-07-17,2,531.2
O24-001425,CUST01397,P0015,North,0.11,49.12,13.53,2024-12-23,1,55.19
O24-003242,CUST00171,P0021,West,0.11,563.42,109.33,2024-08-02,3,211.02
O24-003166,CUST01493,P0038,North,0.11,12.42,2.19,2024-08-25,1,13.96
O24-004607,CUST00856,P0010,East,0.07,335.1,73.42,2024-06-07,4,90.08
O24-007044,CUST00113,P0034,North,0.14,8.55,1.12,2024-04-28,1,9.94
O24-009856,CUST01189,P0012,West,0.05,110.58,22.06,2024-01-30,6,19.4
O24-008720,CUST00593,P0012,West,0.03,19.31,4.8,2024-02-11,1,19.91
O24-009306,CUST01056,P0001,West,0.06,3430.14,875.93,2024-03-23,3,1216.36
O24-008321,CUST00795,P0034,North,0.04,9.13,1.7,2024-03-09,1,9.51
O24-005303,CUST00805,P0024,North,0.06,3616.09,607.34,2024-04-12,6,641.15
O24-006907,CUST00154,P0008,West,0.21,1803.44,295.36,2024-04-16,4,570.71
O24-006356,CUST01217,P0004,West,0.09,830.12,227.45,2024-05-23,1,912.22
O24-004254,CUST01077,P0042,East,0.31,137.85,12.29,2024-04-01,7,28.54
O24-006140,CUST01075,P0043,North,0.16,131.68,32.75,2024-11-07,4,39.19
O24-003621,CUST01219,P0011,East,0.11,79.49,17.88,2024-06-19,1,89.32
O24-007818,CUST00508,P0034,South,0.1,70.78,9.75,2024-03-22,8,9.830555556
O24-005189,CUST00736,P0035,West,0.04,16.09,3.55,2024-09-30,4,4.190104167
O24-001160,CUST00634,P0048,East,0,2.22,0.48,2024-09-16,1,2.22
O24-007953,CUST00824,P0005,West,0.11,412.52,98.61,2024-01-05,1,463.5
O24-003973,CUST00133,P0038,West,0.06,38.83,7.72,2024-05-17,3,13.77
O24-008942,CUST01171,P0040,East,0.12,25.7,4.57,2024-10-10,2,14.6
O24-004525,CUST01307,P0013,South,0.09,37.2,5.9,2024-10-31,2,20.44
O24-007826,CUST00617,P0010,West,0.12,161.32,35.54,2024-02-02,2,91.66
O24-006416,CUST01012,P0002,North,0.22,426.81,94.93,2024-03-02,1,547.19
O24-003663,CUST01449,P0002,West,0.18,1290.79,342.6,2024-04-26,3,524.71
O24-003873,CUST00989,P0039,East,0.19,10.82,2.05,2024-03-30,1,13.36
O24-004617,CUST00535,P0026,South,0.11,1904.24,175.09,2024-01-14,4,534.9
O24-001676,CUST00289,P0018,North,0.01,1730.28,286.54,2024-12-31,4,436.9393939
O24-003574,CUST00048,P0007,North,0.2,343.78,82.88,2024-09-22,2,214.86
O24-008189,CUST01024,P0036,West,0.14,90.26,15.91,2024-12-01,5,20.99
O24-000120,CUST00800,P0018,South,0.19,2696.59,338.44,2024-09-12,8,416.14
O24-004976,CUST00607,P0011,North,0.05,161.94,43.7,2024-12-06,2,85.23157895
O24-000748,CUST00570,P0006,West,0,768.32,201.22,2024-01-29,2,384.16
O24-002998,CUST00683,P0034,West,0.01,19.76,4.92,2024-01-13,2,9.98
O24-005664,CUST00972,P0004,North,0.12,2421.04,615.01,2024-06-10,3,917.06
O24-004515,CUST01427,P0034,North,0,61.86,14,2024-04-25,6,10.31
O24-006154,CUST00486,P0016,East,0.31,175.4,31.66,2024-01-11,4,63.55
O24-000556,CUST00054,P0048,South,0.1,3.83,0.49,2024-12-14,2,2.13
O24-002275,CUST00056,P0004,North,0,11120.56,2604.05,2024-05-25,13,900.45
O24-001361,CUST00211,P0014,East,0.06,71.65,20.08,2024-05-27,2,38.11
O24-000036,CUST00253,P0033,South,0.32,52.92,2.84,2024-11-01,6,12.97
O24-009582,CUST00041,P0007,East,0.1,753.52,191.86,2024-05-18,4,209.31
O24-008021,CUST00537,P0029,North,0.1,557.93,52.17,2024-10-22,2,309.96
O24-005565,CUST00628,P0007,East,0.15,567.27,104.3,2024-04-30,3,222.46
O24-000022,CUST01496,P0016,South,0.11,107.89,21.58,2024-10-04,2,60.61
O24-001286,CUST01319,P0017,South,0.25,488.39,25.7,2024-04-10,3,217.06
O24-003717,CUST00512,P0035,South,0.14,3.47,0.43,2024-08-17,1,4.03
O24-007538,CUST01080,P0034,West,0.08,29.06,7.67,2024-04-26,3,10.53
O24-001196,CUST00468,P0013,North,0.37,12.52,1.62,2024-09-28,1,19.87
O24-001078,CUST01434,P0007,West,0.12,1282.76,294.37,2024-11-16,7,208.24
O24-005575,CUST00225,P0016,South,0.22,98.5,15.32,2024-04-10,2,63.14
O24-004185,CUST00167,P0039,South,0.1,12.39,1.29,2024-09-16,1,13.77
O24-004118,CUST01478,P0038,West,0.06,13.04,2.45,2024-11-10,1,13.87
O24-007650,CUST00012,P0005,North,0.06,877.73,182.12,2024-04-12,2,466.88
O24-004204,CUST00666,P0002,West,0.06,3066.36,841.68,2024-04-29,6,543.68
O24-003358,CUST01412,P0045,East,0.16,2.14,0.31,2024-05-20,1,2.55
O24-000972,CUST00028,P0011,East,0.26,64.49,11.17,2024-12-25,1,87.15
O24-009242,CUST01054,P0010,West,0.09,252.69,65.44,2024-09-10,3,92.56
O24-001232,CUST00849,P0039,West,0.08,12.7,2.62,2024-07-18,1,13.8
O24-004322,CUST00105,P0038,East,0.06,12.92,2.87,2024-01-24,1,13.74
O24-006145,CUST00338,P0030,East,0,104.14,17.35,2024-12-26,1,104.14
O24-001131,CUST00509,P0024,West,0.14,2751.61,314.07,2024-11-12,5,639.91
O24-007726,CUST01265,P0037,East,0.06,12.89,2.55,2024-03-26,1,13.71
O24-000303,CUST01189,P0010,East,0.06,170.06,38.32,2024-04-14,2,90.46
O24-004498,CUST00320,P0034,North,0.17,8.47,1.23,2024-06-11,1,10.2
O24-005541,CUST01041,P0044,North,0.16,12.91,1.76,2024-08-25,1,15.37
O24-007779,CUST01356,P0010,East,0.03,90.38,27.01,2024-09-27,1,93.18
O24-004520,CUST00785,P0004,North,0,3536.8,948.98,2024-09-09,4,884.2
O24-003593,CUST01457,P0013,West,0.08,37.11,7.74,2024-04-01,2,20.17
O24-005973,CUST00537,P0009,South,0.11,42.72,6.81,2024-11-23,2,24
O24-005255,CUST00867,P0004,North,0.38,2137.29,359.89,2024-12-25,4,861.81
O24-004684,CUST00927,P0014,East,0.19,31.6,6.05,2024-09-11,1,39.01
